iter	Passed	Remaining
713	21011	8416
714	21038	8385
715	21071	8357
716	21099	8328
717	21125	8297
718	21151	8266
719	21176	8235
720	21200	8203
721	21225	8172
722	21251	8141
723	21276	8110
724	21301	8079
725	21328	8049
726	21353	8018
727	21378	7987
728	21403	7956
729	21429	7925
730	21453	7894
731	21478	7863
732	21505	7833
733	21529	7802
734	21555	7771
735	21579	7740
736	21603	7709
737	21628	7678
738	21654	7648
739	21678	7616
740	21707	7587
741	21734	7557
742	21764	7528
743	21796	7499
744	21827	7471
745	21857	7442
746	21887	7412
747	21921	7385
748	21951	7356
749	21981	7327
750	22011	7298
751	22042	7269
752	22075	7241
753	22109	7213
754	22141	7185
755	22174	7156
756	22207	7128
757	22237	7099
758	22266	7070
759	22291	7039
760	22316	7008
761	22342	6978
762	22374	6949
763	22407	6921
764	22445	6895
765	22479	6867
766	22513	6839
767	22543	6809
768	22574	6781
769	22606	6752
770	22637	6723
771	22670	6695
772	22701	6666
773	22730	6637
774	22760	6607
775	22785	6577
776	22811	6546
777	22835	6516
778	22860	6485
779	22887	6455
780	22912	6424
781	22940	6395
782	22965	6364
783	22991	6334
784	23017	6304
785	23042	6273
786	23066	6243
787	23091	6212
788	23123	6183
789	23154	6154
790	23185	6126
791	23215	6097
792	23249	6068
793	23284	6041
794	23320	6013
795	23354	5985
796	23387	5956
797	23417	5927
798	23443	5897
799	23469	5867
800	23496	5837
801	23522	5807
802	23549	5777
803	23573	5746
804	23599	5716
805	23624	5686
806	23650	5656
807	23679	5626
808	23704	5596
809	23732	5566
810	23757	5536
811	23781	5506
812	23806	5475
813	23833	5445
814	23857	5415
815	23881	5385
816	23906	5354
817	23931	5324
818	23957	5294
819	23982	5264
820	24011	5235
821	24044	5206
822	24075	5177
823	24109	5149
824	24144	5121
825	24177	5093
826	24210	5064
827	24244	5036
828	24277	5007
829	24313	4979
830	24342	4950
831	24370	4920
832	24397	4891
833	24425	4861
834	24464	4834
835	24496	4805
836	24526	4776
837	24565	4748
838	24598	4720
839	24627	4690
840	24659	4662
841	24688	4632
842	24720	4603
843	24750	4574
844	24783	4546
845	24815	4517
846	24847	4488
847	24875	4458
848	24906	4429
849	24939	4401
850	24978	4373
851	25016	4345
852	25053	4317
853	25084	4288
854	25111	4258
855	25137	4228
856	25163	4198
857	25191	4169
858	25218	4139
859	25252	4110
